,batsman,innings,runs,batting_team,ball,dismissals,sixes,fours,dots,ones,twos,threes,hundreds,fifties,thirties,highest_score,matches_x,matches_y,SR,BPD,BPB,nbdry_sr,AVG,dot_percentage,debut_year,final_year,surname,initial
54,Hayley Matthews,81,2578.0,West Indies,2327,97,55,324,1012,674,118,14,5.0,11.0,17.0,214.0,81,81,110.786420283627,23.989690721649485,6.139841688654354,52.36523652365237,26.577319587628867,43.48947142243232,2014/15,2024,Matthews,H Matthews
55,Hannah Rowe,16,169.0,New Zealand,168,15,1,14,63,64,20,1,0.0,0.0,1.0,33.0,16,16,100.59523809523809,11.2,11.2,72.2972972972973,11.266666666666667,37.5,2018,2024,Rowe,H Rowe
56,Izzy Gaze,14,159.0,New Zealand,155,9,2,15,61,66,9,1,0.0,1.0,0.0,51.0,14,14,102.58064516129033,17.22222222222222,9.117647058823529,63.503649635036496,17.666666666666668,39.35483870967742,2022,2024,Gaze,I Gaze
57,Iram Javed,41,500.0,Pakistan,620,47,10,53,315,182,23,0,1.0,0.0,4.0,110.0,41,41,80.64516129032258,13.191489361702128,9.841269841269842,43.84615384615385,10.638297872340425,50.806451612903224,2013,2024,Javed,I Javed
58,Jemimah Rodrigues,87,2857.0,India,2589,106,25,324,891,1121,139,4,5.0,17.0,18.0,144.0,87,87,110.35148706064118,24.42452830188679,7.418338108882521,65.47563805104409,26.952830188679247,34.414831981460026,2017/18,2024,Rodrigues,J Rodrigues
59,Jess Kerr,17,131.0,New Zealand,116,12,2,14,44,44,8,1,0.0,0.0,1.0,38.0,17,17,112.93103448275863,9.666666666666666,7.25,64.94845360824742,10.916666666666666,37.93103448275862,2020/21,2024,Kerr,J Kerr
60,Katherine Fraser,14,63.0,Scotland,95,11,0,6,54,23,8,0,0.0,0.0,0.0,14.0,14,14,66.3157894736842,8.636363636363637,15.833333333333334,45.88235294117647,5.7272727272727275,56.84210526315789,2021,2024,Fraser,K Fraser
61,Kawya Kavindi,1,6.0,Sri Lanka,4,0,0,1,1,0,1,0,0.0,0.0,0.0,6.0,1,1,150.0,4.0,4.0,100.0,6.0,25.0,2024,2024,Kavindi,K Kavindi
62,Karishma Ramharack,9,20.0,West Indies,44,6,0,0,23,14,3,0,0.0,0.0,0.0,6.0,9,9,45.45454545454545,7.333333333333333,44.0,50.0,3.3333333333333335,52.27272727272727,2019,2024,Ramharack,K Ramharack
63,Kathryn Bryce,42,1597.0,Scotland,1594,42,11,187,673,513,123,8,3.0,11.0,7.0,146.0,42,42,100.18820577164367,37.95238095238095,8.05050505050505,59.453302961275625,38.023809523809526,42.22082810539523,2018,2024,Bryce,K Bryce
64,Kim Garth,1,2.0,Australia,4,0,0,0,2,2,0,0,0.0,0.0,0.0,2.0,1,1,50.0,4.0,4.0,50.0,2.0,50.0,2023/24,2023/24,Garth,K Garth
65,Lorna Jack,42,734.0,Scotland,937,43,0,61,416,295,90,5,1.0,4.0,1.0,108.0,42,42,78.33511205976521,21.790697674418606,15.360655737704919,60.7940446650124,17.069767441860463,44.39701173959445,2018,2024,Jack,L Jack
66,L Jones,1,15.0,South Africa,21,1,0,2,12,5,1,0,0.0,0.0,0.0,15.0,1,1,71.42857142857143,21.0,10.5,38.88888888888889,15.0,57.14285714285714,2023/24,2023/24,Jones,L Jones
67,Laura Wolvaardt,59,1953.0,South Africa,1759,60,23,233,669,668,97,7,3.0,13.0,11.0,110.0,59,59,111.02899374644683,29.316666666666666,6.87109375,61.27689104788342,32.55,38.03297328027288,2018,2024,Wolvaardt,L Wolvaardt
68,Leigh Kasperek,18,126.0,New Zealand,126,22,0,14,42,48,11,0,0.0,0.0,1.0,38.0,18,18,100.0,5.7272727272727275,9.0,69.3069306930693,5.7272727272727275,33.33333333333333,2015/16,2024,Kasperek,L Kasperek
69,Lea Tahuhu,28,266.0,New Zealand,244,24,5,23,96,83,26,3,0.0,0.0,1.0,32.0,28,28,109.01639344262296,10.166666666666666,8.714285714285714,69.23076923076923,11.083333333333334,39.34426229508197,2011/12,2024,Tahuhu,L Tahuhu
70,Mieke De Ridder,1,1.0,South Africa,2,1,0,0,1,1,0,0,0.0,0.0,0.0,1.0,1,1,50.0,2.0,2.0,50.0,1.0,50.0,2023/24,2023/24,Ridder,M Ridder
71,Marizanne Kapp,69,1587.0,South Africa,1569,79,20,143,601,643,105,14,1.0,10.0,6.0,112.0,69,69,101.14722753346079,19.860759493670887,9.625766871165645,65.66397652237711,20.088607594936708,38.304652644996814,2012/13,2024,Kapp,M Kapp
72,Megan McColl,22,217.0,Scotland,264,19,2,14,106,99,25,0,0.0,1.0,1.0,50.0,22,22,82.1969696969697,13.894736842105264,16.5,64.78260869565217,11.421052631578947,40.15151515151515,2019,2024,McColl,M McColl
73,Anushka Sanjeewani,57,944.0,Sri Lanka,1084,62,3,84,446,420,76,6,1.0,4.0,5.0,122.0,57,57,87.08487084870849,17.483870967741936,12.459770114942529,62.236286919831215,15.225806451612904,41.14391143911439,2015/16,2024,Sanjeewani,A Sanjeewani
74,Maia Bouchier,28,538.0,England,450,26,5,67,165,166,34,2,0.0,2.0,4.0,91.0,28,28,119.55555555555554,17.307692307692307,6.25,65.39509536784742,20.692307692307693,36.666666666666664,2021,2024,Bouchier,M Bouchier
75,Maddy Green,68,1170.0,New Zealand,1186,72,18,97,432,523,68,5,0.0,2.0,12.0,58.0,68,68,98.65092748735245,16.47222222222222,10.31304347826087,65.56420233463035,16.25,36.42495784148398,2013/14,2024,Green,M Green
