player_id,batsman,innings,runs,ball,dismissals,sixes,fours,dots,ones,twos,threes,SR,BPD,BPB,NBDRY_SR,AVG,Dot_percentage
1714,Taful Elkhair,1,1,2,0,0,0,1,1,0,0,50,2,2,50,1,50
1715,Tashiba Mirza,1,5,11,0,0,1,8,1,0,0,45.45454545,11,11,11.11111111,5,72.72727273
1716,Tazia Akhter,2,3,12,2,0,0,7,3,0,0,25,6,12,30,1.5,58.33333333
1717,Thae Thae Po,6,12,32,1,0,0,19,10,1,0,37.5,32,32,40,12,59.375
1718,Theertha Satish,61,1453,1414,42,4,170,527,496,110,11,102.758133,33.66666667,8.126436782,65.47202797,34.5952381,37.27015559
1719,Tshering Choden,1,0,3,1,0,0,3,0,0,0,0,3,3,0,0,100
1720,Tuba Hassan,10,60,60,5,1,5,25,20,7,0,100,12,10,65.38461538,12,41.66666667
1721,U Chetry,1,9,7,1,0,1,2,3,1,0,128.5714286,7,7,83.33333333,9,28.57142857
1722,U Iftikhar,3,26,48,2,2,0,27,12,1,0,54.16666667,24,24,35,13,56.25
1723,U Peace,3,10,18,0,0,0,8,8,1,0,55.55555556,18,18,58.82352941,3.333333333,44.44444444
1724,U Raymond-Hoey,6,47,100,11,0,0,49,43,2,0,47,9.090909091,100,50,4.272727273,49
1725,U Thimashini,6,78,94,10,0,12,50,26,2,0,82.9787234,9.4,7.833333333,38.46153846,7.8,53.19148936
1726,UCKA Dona,10,142,198,20,2,6,110,50,28,0,71.71717172,9.9,24.75,56.38297872,7.1,55.55555556
1727,Umaima Sohail,39,619,736,50,8,51,349,243,51,4,84.10326087,14.72,12.47457627,55.17774343,12.38,47.41847826
1728,Umm-e-Hani,4,26,37,3,0,1,17,16,3,0,70.27027027,12.33333333,37,61.11111111,8.666666667,45.94594595
1729,Uswa Syed,2,24,45,2,0,1,23,12,4,0,53.33333333,22.5,45,51.28205128,12,51.11111111
1730,V Abuga,22,368,446,22,3,43,227,109,33,1,82.51121076,20.27272727,9.695652174,48.10810811,16.72727273,50.89686099
1731,V Araa,4,18,33,2,0,0,16,14,2,0,54.54545455,16.5,33,56.25,9,48.48484848
1732,V Avdylaj,5,0,30,3,0,0,24,0,0,0,0,10,30,0,0,80
1733,V Barboza,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,100
1734,V Buruka,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,100
1735,V Frank,8,174,204,10,0,18,88,70,16,0,85.29411765,20.4,11.33333333,58.62068966,17.4,43.1372549
1736,V Frey,3,11,15,3,0,1,7,2,0,0,73.33333333,5,15,22.22222222,3.666666667,46.66666667
1737,V Hamunyela,12,31,73,6,0,2,40,17,3,0,42.46575342,12.16666667,36.5,38.33333333,5.166666667,54.79452055
1738,V Igbinedion,5,79,121,4,1,9,74,22,5,0,65.2892562,30.25,12.1,31.68316832,19.75,61.15702479
1739,V Iriho,4,56,114,8,0,2,68,32,8,0,49.12280702,14.25,57,44.44444444,7,59.64912281
1740,V Jesrani,10,79,196,11,0,1,108,61,7,0,40.30612245,17.81818182,196,42.61363636,7.181818182,55.10204082
1741,V Krishnamurthy,37,808,777,44,11,80,287,297,61,1,103.989704,17.65909091,8.538461538,65.3250774,18.36363636,36.93693694
1742,V Langiatu,13,179,230,17,0,25,131,50,13,1,77.82608696,13.52941176,9.2,40.51282051,10.52941176,56.95652174
1743,V Mansale,5,8,29,7,0,1,22,4,0,0,27.5862069,4.142857143,29,15.38461538,1.142857143,75.86206897
1744,V Ooko,24,253,349,20,0,29,167,101,18,0,72.49283668,17.45,12.03448276,47.9020979,12.65,47.85100287
1745,V Pasupathy,3,22,65,6,0,1,44,14,2,0,33.84615385,10.83333333,65,30,3.666666667,67.69230769
1746,V Phiri,7,8,31,4,0,0,24,4,2,0,25.80645161,7.75,31,26.66666667,2,77.41935484
1747,V Romani,2,3,14,1,0,0,10,3,0,0,21.42857143,14,14,23.07692308,3,71.42857143
1748,V Stolle,2,29,39,2,0,1,16,15,5,0,74.35897436,19.5,39,69.44444444,14.5,41.02564103
1749,V Tafea,4,14,24,2,0,1,14,4,3,0,58.33333333,12,24,47.61904762,7,58.33333333
1750,V Tari,1,6,28,2,0,0,24,2,2,0,21.42857143,14,28,21.42857143,3,85.71428571
1751,V Vasquez,9,183,211,9,0,18,92,45,24,6,86.72985782,23.44444444,11.72222222,66.46706587,20.33333333,43.60189573
1752,V Vira,4,11,42,0,0,0,29,9,1,0,26.19047619,42,42,28.20512821,2.75,69.04761905
1753,V Vithanage,2,1,5,2,0,0,3,1,0,0,20,2.5,5,25,0.5,60
1754,V Volfova,3,10,27,2,0,1,14,2,2,0,37.03703704,13.5,27,33.33333333,5,51.85185185
1755,VB Viyala,2,10,30,0,0,0,15,2,4,0,33.33333333,30,30,47.61904762,5,50
1756,VM Andrew,5,32,72,5,0,3,39,16,2,0,44.44444444,14.4,24,35.0877193,6.4,54.16666667
1757,VR Vanitha,4,68,61,4,1,10,30,14,4,0,111.4754098,15.25,5.545454545,45.83333333,17,49.18032787
1758,VS D'Souza,1,0,2,1,0,0,2,0,0,0,0,2,2,0,0,100
1759,Vaishnave Mahesh,27,101,156,18,0,7,80,36,17,1,64.74358974,8.666666667,22.28571429,54.47761194,5.611111111,51.28205128
1760,Vathana Sreemurugavel,9,59,154,7,0,4,93,35,4,0,38.31168831,22,38.5,32.57575758,8.428571429,60.38961039
1761,Viktoria Frey,5,7,25,6,0,0,16,7,0,0,28,4.166666667,25,30.43478261,1.166666667,64
1762,Vinu Kumar,20,138,265,17,0,16,161,56,9,0,52.0754717,15.58823529,16.5625,32.74336283,8.117647059,60.75471698
1763,W Ginindza,7,9,33,8,0,1,22,5,0,0,27.27272727,4.125,33,18.51851852,1.125,66.66666667
1764,W Hornero-Garcia,3,14,32,2,0,1,17,5,1,1,43.75,16,32,41.66666667,7,53.125
1765,W Kevin,1,8,12,2,0,2,8,0,0,0,66.66666667,6,6,0,4,66.66666667
1766,W Liengprasert,16,217,327,29,0,7,146,123,33,0,66.36085627,11.27586207,46.71428571,62.58278146,7.482758621,44.64831804
1767,W Moutswi,9,38,69,6,0,2,38,16,4,2,55.07246377,11.5,34.5,50,6.333333333,55.07246377
1768,W Mwatile,40,533,717,39,8,49,366,190,42,5,74.33751743,18.38461538,12.57894737,47.92703151,13.66666667,51.0460251
1769,W Ofamoli,3,28,72,6,0,2,44,20,0,0,38.88888889,12,36,31.25,4.666666667,61.11111111
1770,WA Duraisingam,57,1151,1756,65,0,110,960,412,112,25,65.54669704,27.01538462,15.96363636,47.11729622,17.70769231,54.66970387
1771,WGAKK Kulasuriya,10,15,43,4,0,0,24,15,0,0,34.88372093,10.75,43,38.46153846,3.75,55.81395349
1772,WK Dilhari,45,524,508,36,3,51,193,191,48,5,103.1496063,14.11111111,9.407407407,69.10755149,14.55555556,37.99212598
1773,WK Lai,11,42,80,11,0,1,41,28,5,0,52.5,7.272727273,80,51.35135135,3.818181818,51.25
1774,Waheeda Akhtar,2,2,12,2,0,0,9,2,0,0,16.66666667,6,12,18.18181818,1,75
1775,Wan Julia,49,651,985,57,0,53,514,270,68,11,66.09137056,17.28070175,18.58490566,50.86906141,11.42105263,52.18274112
1776,Wan Nor Zulaika,9,33,76,8,0,2,49,13,6,0,43.42105263,9.5,38,36.76470588,4.125,64.47368421
1777,Wang Meng,2,10,18,4,0,0,8,10,0,0,55.55555556,4.5,18,55.55555556,2.5,44.44444444
1778,Wania Malik,2,1,2,1,0,0,1,1,0,0,50,2,2,50,1,50
1779,Wenjing Yin,3,4,11,2,0,0,6,4,0,0,36.36363636,5.5,11,40,2,54.54545455
