,bowler,innings,balls,runs,wkts,sixes,fours,dots,three_wicket_hauls,maiden_overs,fantasy_points,bbi,dot%,avg,fantasy_points_per_match,sr,econ
303,Sultana Khatun,7,140,143,8,3,14,64,1.0,0.0,228,3,45.714285714285715,17.875,32.57142857142857,17.5,6.128571428571429
304,Sumaiya Siddiqi,7,102,87,3,1,12,55,0.0,0.0,111,1,53.92156862745098,29.0,15.857142857142858,34.0,5.117647058823529
305,Sun̩ Luus,32,392,495,12,13,42,103,0.0,0.0,326,2,26.27551020408163,41.25,10.1875,32.666666666666664,7.576530612244898
306,Suraiya Azmin,3,56,29,5,0,4,38,0.0,6.0,155,2,67.85714285714286,5.8,51.666666666666664,11.2,3.107142857142857
307,Suzie Bates,27,239,246,12,3,18,67,1.0,3.0,364,3,28.03347280334728,20.5,13.481481481481481,19.916666666666668,6.175732217573222
308,Syeda Aroob Shah,10,166,193,3,5,19,62,0.0,0.0,103,1,37.34939759036144,64.33333333333333,10.3,55.333333333333336,6.975903614457831
309,TD Smartt,19,303,252,13,1,27,140,1.0,8.0,447,3,46.2046204620462,19.384615384615383,23.526315789473685,23.307692307692307,4.99009900990099
310,TP Kanwar,3,27,15,0,0,1,15,0.0,2.0,6,0,55.55555555555556,,2.0,,3.3333333333333335
311,TR Sadhu,6,61,40,5,2,1,36,1.0,0.0,159,4,59.01639344262295,8.0,26.5,12.2,3.9344262295081966
312,Tahlia McGrath,17,183,199,12,3,23,62,2.0,2.0,354,3,33.87978142076503,16.583333333333332,20.823529411764707,15.25,6.524590163934426
313,Tayla Vlaeminck,15,232,183,11,3,23,121,1.0,17.0,361,3,52.1551724137931,16.636363636363637,24.066666666666666,21.09090909090909,4.732758620689655
314,Thamsyn Newton,3,4,2,0,0,0,1,0.0,0.0,6,0,25.0,,2.0,,3.0
315,Tharika Sewwandi,2,18,6,0,0,1,11,0.0,2.0,6,0,61.111111111111114,,3.0,,2.0
