batsman,runs,ball,innings,matches_x,dismissals,sixes,fours,dots,ones,twos,threes,batting_team,hundreds,fifties,thirties,highest_score,matches_y,fantasy_points,SR,BPD,BPB,nbdry_sr,AVG,dot_percentage,fantasy_points_per_match,debut_year,final_year,matches
Nilakshika de Silva,737,733,56,56,36,11,49,248,331,63,6,Sri Lanka,,1,4,63,56,1141,100.5457026,20.36111111,12.21666667,73.30246914,20.47222222,33.83356071,20.375,2012/13,2024,56
Nonkululeko Mlaba,5,16,3,3,2,0,0,11,5,0,0,South Africa,,,,4,3,9,31.25,8,16,31.25,2.5,68.75,3,2021,2024,3
Olivia Bell,2,3,1,1,0,0,0,1,2,0,0,Scotland,,,,2,1,2,66.66666667,3,3,66.66666667,2,33.33333333,2,2023/24,2023/24,1
Oshadi Ranasinghe,218,307,29,29,23,0,16,137,110,19,2,Sri Lanka,,,,26,29,297,71.00977199,13.34782609,19.1875,57.46268657,9.47826087,44.62540717,10.24137931,2013/14,2023,29
Phoebe Litchfield,152,93,6,6,5,10,13,29,28,6,0,Australia,,1,2,52,6,267,163.4408602,18.6,4.043478261,63.49206349,30.4,31.1827957,44.5,2022/23,2023/24,6
Pooja Vastrakar,247,212,31,31,17,5,24,77,76,21,1,India,,,1,37,31,365,116.509434,12.47058824,7.310344828,69.14285714,14.52941176,36.32075472,11.77419355,2017/18,2024,31
Priyanaz Chatterji,278,317,31,31,22,2,19,124,129,26,3,Scotland,,,3,36,31,418,87.69716088,14.40909091,15.0952381,67.37588652,12.63636364,39.11671924,13.48387097,2018,2024,31
Qiana Joseph,54,57,3,3,3,1,7,30,12,4,0,West Indies,,,1,34,3,79,94.73684211,19,7.125,43.47826087,18,52.63157895,26.33333333,2024,2024,3
Rabeya Khan,29,49,8,8,5,0,2,28,14,2,1,Bangladesh,,,,10,8,75,59.18367347,9.8,24.5,46.66666667,5.8,57.14285714,9.375,2022/23,2024,8
Rachel Slater,36,78,9,9,9,0,1,44,27,1,1,Scotland,,,,14,9,39,46.15384615,8.666666667,78,43.83561644,4,56.41025641,4.333333333,2021/22,2024,9
Radha Yadav,58,50,14,14,6,1,4,14,24,6,0,India,,,,14,14,74,116,8.333333333,10,81.81818182,9.666666667,28,5.285714286,2018,2024,14
